nombre,america_si,siglo_21,habla_castellano_si,monarquia_si,militar_si,hombre_si,hemisferio_norte_si,gafas_si,rubio_si,derechas_si,asesinado_si,premio_nobel,es_isla_si,partido_unico_si,vello_facial_si,edad_mayor_65,continente_europa,religion_mayoritaria_cristiana,es_frances
Donald Trump,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
Barack Obama,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Nayib Bukele,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
Pedro Sanchez,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Emmanuel Macron,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
Justin Trudeau,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Angela Merkel,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0
Nelson Mandela,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
John F. Kennedy,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
Abraham Lincoln,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
Winston Churchill,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0
Margaret Thatcher,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0
Fidel Castro,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0
Gabriel Boric,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
Jair Bolsonaro,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
Vladimir Putin,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0
Mariano Rajoy,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0
Joe Biden,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Franklin Roosevelt,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Xi Jinping,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Kim Jong-un,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Adolf Hitler,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0
Francisco Franco,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0
Augusto Pinochet,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0
Nicolas Maduro,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Lula da Silva,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
Javier Milei,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Charles de Gaulle,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0
Silvio Berlusconi,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0
Volodimir Zelenski,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
George Washington,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Simon Bolivar,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
Indira Gandhi,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Benazir Bhutto,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Jacinda Ardern,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Sanna Marin,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Michelle Bachelet,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Dilma Rousseff,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Golda Meir,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Corazon Aquino,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Ellen Johnson Sirleaf,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
Park Geun-hye,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
Theresa May,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
Katrin Jakobsdottir,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
Vigdis Finnbogadottir,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
Kolinda Grabar-Kitarovic,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0
Zuzana Caputova,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
Tony Blair,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
Gerhard Schroder,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
Felipe Gonzalez,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Jose Maria Aznar,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0
Mikhail Gorbachev,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0
Boris Yeltsin,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
Alexander Lukashenko,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0
Viktor Orban,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
Vaclav Havel,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
Olof Palme,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0
Slobodan Milosevic,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
Josip Broz Tito,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0
Benito Mussolini,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0
Juan Carlos I,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
Beatriz de los Paises Bajos,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
Rey Hussein de Jordania,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
Saddam Hussein,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0
Muammar Gaddafi,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0
Hosni Mubarak,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0
Anwar Sadat,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
Yasser Arafat,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0
Recep Tayyip Erdogan,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Benjamin Netanyahu,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Mahmoud Ahmadinejad,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ayatollah Khomeini,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
Fumio Kishida,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
Shinzo Abe,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
Narindra Modi,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0
Mahatma Gandhi,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Jawaharlal Nehru,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Lee Kuan Yew,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0
Ferdinand Marcos,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0
Rodrigo Duterte,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
Hugo Chavez,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Evo Morales,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Jose Mujica,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
Gustavo Petro,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
Andres Manuel Lopez Obrador,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Alberto Fujimori,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
Juan Domingo Peron,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Getulio Vargas,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0
Salvador Allende,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
Rishi Sunak,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
Justin Welby,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0
Pope Francis,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
Ronald Reagan,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
George H.W. Bush,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
Bill Clinton,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
George W. Bush,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Richard Nixon,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Harry Truman,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
Jimmy Carter,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
Lyndon B. Johnson,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Thomas Jefferson,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Gamal Abdel Nasser,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Anwar Sadat,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0
Hafez al-Assad,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Abdel Fattah el-Sisi,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Benito Juarez,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Lazaro Cardenas,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Porfirio Diaz,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0
Pancho Villa,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
Alvaro Uribe,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
Juan Manuel Santos,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
Rafael Correa,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Guillermo Lasso,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
Daniel Noboa,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Sebastian Piñera,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
Ricardo Lagos,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
Eduardo Frei Montalva,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Jose Sarney,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0
Fernando Henrique Cardoso,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
Fernando Collor de Mello,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Itamar Franco,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
Juscelino Kubitschek,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Raul Alfonsin,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
Alberto Fernandez,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
Nestor Kirchner,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Tabare Vazquez,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Alfredo Stroessner,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Robert Mugabe,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
Idriss Deby,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0
Paul Biya,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
Teodoro Obiang,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0
Yoweri Museveni,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0
Paul Kagame,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
Julius Nyerere,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Jomo Kenyatta,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Haile Selassie,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0
Kwame Nkrumah,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Patrice Lumumba,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Mobutu Sese Seko,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0
Laurent-Desire Kabila,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0
Joseph Kabila,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0
Felix Tshisekedi,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Samora Machel,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0
Joaquim Chissano,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Afonso Dhlakama,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0
Jonas Savimbi,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0
Jose Eduardo dos Santos,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
Joao Lourenço,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
George Weah,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Abdoulaye Wade,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
Macky Sall,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Bassirou Diomaye Faye,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nana Akufo-Addo,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
Jerry Rawlings,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Laurent Gbagbo,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
Kofi Annan,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0
Boutros Boutros-Ghali,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
Ban Ki-moon,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Antonio Guterres,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
Jens Stoltenberg,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Mark Rutte,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
Charles Michel,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
Herman Van Rompuy,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0
Donald Tusk,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
Petr Pavel,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
Micheal Martin,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
Leo Varadkar,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0
Simon Harris,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0
Mary Robinson,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
